Dataset ,Classifier,Cost Function,M ,Train/Test, Hamming-Loss, Accuracy, Execution Time
scene-train.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,6,Train,0.0015139003578309939,0.990916597853014,11.64600
scene-train.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,6,Test,0.10172798216276506,0.5016722408026756,11.64600
medical-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,6,Train,4.2900042900042895E-4,0.996996996996997,7.06600
medical-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,6,Test,0.030343300110741923,0.7875968992248061,7.06600
genbase-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,6,Train,0.0,1.0,8.75900
genbase-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,6,Test,0.0,1.0,8.75900
flags-train.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,6,Train,0.0033222591362126242,0.9767441860465116,0.97700
flags-train.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,6,Test,0.298901098901099,0.16923076923076918,0.97700
enron-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,6,Train,0.005978883093753979,0.9599287622439893,33.50100
enron-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,6,Test,0.06266962743646678,0.6200345423143351,33.50100
emotions-train.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,6,Train,0.005541346973572037,0.9667519181585678,2.10100
emotions-train.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,6,Test,0.22937293729372935,0.22277227722772275,2.10100
birds-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,6,Train,0.0015527950310559005,0.9906832298136646,1.06600
birds-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,6,Test,0.04024767801857582,0.7801857585139319,1.06600
